id,Area,JanEff,FebEff,MarEff,AprEff,MayEff,JunEff,JulEff,AugEff,SepEff,OctEff,NovEff,DecEff,TotalEffor,Elevmean,RiverDist,RoadDist,VillDist,Ruggmean
6098,Ndokbou,0,0,0,1520.93749,0,0,0,0,0,1249.870809,0,0,2770.808299,870.4327652,1045.550477,5507.12908,10734.99281,27.582208
6099,Ndokbou,0,0,0,1967.624616,0,0,0,0,0,187.3705069,0,0,2154.995122,831.4521484,920.643158,4508.067362,9925.816679,26.24113029
6100,Ndokbou,0,0,0,1139.94095,0,0,0,0,0,0,0,0,1139.94095,859.1070076,821.0768893,3509.540138,9154.430781,27.77454618
6247,Ndokbou,0,0,0,1292.792819,0,0,0,0,0,1408.280733,0,0,2701.073551,798.4734848,22.40730865,6615.57649,12127.80562,29.2702606
6248,Ndokbou,0,0,0,2615.785223,0,0,0,0,0,1984.541115,0,0,4600.326337,720.389348,360.7757328,5635.605818,11329.8471,27.43236558
6249,Ndokbou,0,0,0,3621.627198,0,0,0,0,0,37.9043736,0,0,3659.531572,686.1486742,25.49674984,4664.145535,10566.32394,24.23851994
6250,Ndokbou,0,0,0,2357.901202,0,0,0,0,0,0,0,0,2357.901202,666.9210285,327.9734579,3707.890803,9845.251026,27.6585339
6251,Ndokbou,0,0,0,2287.468545,0,0,0,0,0,0,0,0,2287.468545,625.3977273,228.540115,2782.56264,9176.640668,24.74127419
6396,Ndokbou,0,0,0,309.8075127,0,0,0,0,0,0,0,0,309.8075127,793.2102273,1073.961125,7679.508721,13525.06074,31.15204418
6397,Ndokbou,0,0,0,1876.241331,0,0,0,0,0,0,0,0,1876.241331,767.8798828,850.8935117,6719.743869,12736.13105,32.43071927
6398,Ndokbou,0,0,0,2896.357617,0,0,0,0,0,0,0,0,2896.357617,726.0814394,600.192868,5773.652321,11978.76455,35.50595285
6399,Ndokbou,0,0,0,11442.87988,0,0,0,0,0,0,0,0,11442.87988,621.9521484,525.8792007,4849.243712,11259.33241,34.92197392
6400,Ndokbou,0,0,0,3041.577656,0,0,0,0,0,0,0,0,3041.577656,577.7765152,194.0041925,3961.725387,10585.57191,27.15694849
6401,Ndokbou,0,0,0,2846.798317,0,0,0,0,0,0,0,0,2846.798317,638.5722656,540.1572944,3142.510381,9966.74966,26.8928458
6547,Ndokbou,0,0,0,3351.663698,0,0,0,0,0,0,0,0,3351.663698,641.842803,194.1831048,6480.841257,13391.5794,20.88792039
6548,Ndokbou,0,0,0,2339.102645,0,0,0,0,0,0,0,0,2339.102645,656.3764922,282.1676607,5502.962255,12673.4433,35.15156317
6549,Ndokbou,0,0,0,4629.294824,0,0,0,0,0,0,0,0,4629.294824,507.936553,747.0805406,4525.654145,11995.74638,26.90569039
6550,Ndokbou,0,0,0,2468.080098,0,0,0,0,0,0,0,0,2468.080098,526.9384757,187.1858381,3558.321079,11365.72468,33.8767196
6551,Ndokbou,0,0,0,1784.957706,0,0,0,0,0,0,0,0,1784.957706,533.1875,807.4761408,2615.674361,10791.73126,25.00577779
6697,Ndokbou,0,0,0,329.4849706,0,0,0,0,0,0,0,0,329.4849706,607.0117188,728.0266784,5997.32556,14087.5748,32.13342584
6698,Ndokbou,0,0,0,1211.810268,0,0,0,0,0,0,0,0,1211.810268,441.4100379,661.181738,5124.098709,13406.77179,26.44075917
6699,Ndokbou,0,0,0,2611.349889,0,0,0,0,0,0,0,0,2611.349889,374.1328125,292.0836874,4306.374495,12768.05765,15.09326497
6700,Ndokbou,0,0,0,1321.154076,0,0,0,0,0,0,0,0,1321.154076,380.8787879,20.27255613,3338.032893,12178.05659,15.86794311
6849,Ndokbou,0,0,0,809.9615828,0,0,0,0,0,0,0,0,809.9615828,427.0416667,581.4760756,3761.274993,13570.13858,20.54367128
6850,Ndokbou,0,0,0,1246.847607,0,0,0,0,0,0,0,0,1246.847607,518.5169881,507.7391449,2904.421333,13016.54436,28.8741687
